cnty,ExcessDrink_Percent,femalePOP165210D$10,hispanicPOP405210D$10,blackPOP255210D$10,forgnbornHC03_VC134ACS3yr$10,hsgradHC03_VC93ACS3yr$10,bachdegHC03_VC94ACS3yr$10,logincomeHC01_VC85ACS3yr$10,unemployAve_BLSLAUS$0910,marriedaveHC03_AC3yr$10,age_1to14,age_15to29,age_30to60,age_gte61,avg_zhs_zloginc
39107,31,50,1.5,0.2,0.9,88.6,16.7,4.69269,8,60.85,0.2020703425,0.182736065,0.3928810275,0.208296474,1.003170988996701
39109,17,50.8,1.3,2,1.9,87.4,20,4.70895,11,57.9,0.1863981755,0.1759731245,0.409837474,0.21600055850000002,0.978256858950703
39113,15,52,2.3,20.9,3.5,88.2,24.3,4.6292,11.1999998092651,45.7,0.176591718,0.203935403,0.397103424,0.2097658205,0.3379896428034199
39119,17,51.6,0.8,3.8,1.1,86.5,13.6,4.59468,12.75,52.5,0.1844512015,0.19296828500000002,0.399251211,0.211193426,-0.24594178159996505
39123,27,50.7,4.2,0.8,1.7,90.8,20.2,4.71359,13.6999998092651,60.6,0.1593281165,0.1517657275,0.41513967799999996,0.2645745285,1.532234127002
39127,16,50.1,0.5,0.3,0.6,83.1,8.9,4.61656,13,55.45,0.1998117155,0.187151708,0.4137957245,0.18719153400000002,-0.547120204905378
39129,14,47.5,1.1,3.4,1.2,82.9,13.8,4.68839,10.8999996185303,52.3,0.1814726835,0.1934853655,0.430269037,0.18370748350000005,0.107605877071721
39133,17,51.2,1.3,4.1,2.6,90.1,24.4,4.70644,9.75,48.8,0.1591634335,0.2599359935,0.3905063755,0.1814349735,1.359129663421324
39135,21,50.4,0.6,0.4,0.9,87.3,13.1,4.68841,11.3999996185303,58,0.18835184100000002,0.172573584,0.41283226949999996,0.21481359649999998,0.767469116374804
39137,23,50,5.5,0.3,1.1,91.1,18.1,4.74754,10,61.2,0.20288553599999998,0.1841085005,0.40517587850000003,0.1925330195,1.9008362674703219
39139,13,49.4,1.4,9.4,1.9,84.8,14.2,4.62115,12.1499996185303,50.6,0.17324746400000002,0.184782065,0.4070563795,0.223607867,-0.24849305739657568
39141,15,47.3,1,6.2,0.7,82.7,13.7,4.63535,11.75,50.05,0.1736169455,0.181214538,0.4434242535000001,0.19001784000000002,-0.427976930220387
39143,21,50.8,8.9,2.8,2.5,87.4,14,4.66298,11.1000003814697,55.05,0.187645022,0.17752569899999998,0.411149956,0.2115675705,0.5400531299549093
39145,16,50.6,1.1,2.7,1.2,81.3,13.7,4.53306,12.6000003814697,50.45,0.17593654450000001,0.20148506800000002,0.398148257,0.212261302,-1.612940395435686
39147,20,50.1,4.4,2.3,1.4,87.2,16.2,4.6181,11.9499998092651,53.8,0.183415151,0.2050638205,0.395222121,0.2049093595,0.08225458258461404
39149,16,50.1,1.3,1.9,2,86,12.2,4.67626,12.5500001907349,55.6,0.2125423265,0.1803846765,0.4101683995,0.18276823650000001,0.456747375421449
39151,14,51.6,1.6,7.6,1.8,88.2,20.5,4.64613,11.1499996185303,51,0.176113431,0.18598515999999998,0.403372031,0.22359421599999998,0.4993729173715948
39153,18,51.6,1.6,14.4,4.4,89.8,29.7,4.67295,9.85000038146973,49.45,0.17474806,0.1951270605,0.414004203,0.20472123650000001,0.994912419958401
